equipment_type,equipment_id,engine_model,engine_type,engine_aspiration,engine_number_of_cylinders,engine_bore_x_stroke,engine_piston_displacement,engine_horsepower_gross_sae_j1995,engine_horsepower_net_iso_9249_sae_j1349,engine_rated_rpm,engine_fan_drive_method,engine_emissions_certification,hydraulic_system_type,hydraulic_system_number_of_selectable_working_modes,hydraulic_system_main_pump_type,hydraulic_system_pump_for,hydraulic_system_maximum_flow,hydraulic_system_travel,hydraulic_system_swing,hydraulic_system_implement_circuits,hydraulic_system_travel_circuit,hydraulic_system_swing_circuit,drives_and_brakes_steering_control,drives_and_brakes_drive_method,drives_and_brakes_maximum_drawbar_pull,drives_and_brakes_travel_speeds,drives_and_brakes_service_brake,drives_and_brakes_parking_brake,swing_system_driven_by,swing_system_swing_reduction,swing_system_swing_circle_lubrication,swing_system_service_brake,swing_system_swing_speed,coolant_and_lubricant_capacity_fuel_tank,coolant_and_lubricant_capacity_coolant,coolant_and_lubricant_capacity_engine,coolant_and_lubricant_capacity_differential_each_side,coolant_and_lubricant_capacity_swing_drive,coolant_and_lubricant_capacity_hydraulic_tank,coolant_and_lubricant_capacity_def_tank,weights_operating_weight,hydraulic_system_pilot_circuit,hydraulic_system_hydraulic_cylinders,hydraulic_system_boom,hydraulic_system_arm,hydraulic_system_bucket,drives_and_brakes_gradeability,swing_system_swing_lock,undercarriage_center_frame,undercarriage_track_frame,undercarriage_track_type,undercarriage_track_adjuster,undercarriage_number_of_shoes_each_side,undercarriage_number_of_carrier_rollers_each_side,undercarriage_number_of_track_rollers_each_side,undercarriage_shoe_size_and_type,coolant_and_lubricant_capacity_coolant_engine,coolant_and_lubricant_capacity_coolant_hybrid,coolant_and_lubricant_capacity_final_drive_each_side,coolant_and_lubricant_capacity_generator_motor,weights_operating_weights,dimensions_transport_position_length_overall_mm,dimensions_transport_position_track_length_on_ground_mm,dimensions_transport_position_track_gauge_mm,dimensions_transport_position_overall_track_width_mm,dimensions_transport_position_overall_height_mm,dimensions_transport_position_ground_clearance_mm,operation_boom_size_m_and_type,operation_arm_size_m_and_type,operation_arm_crowd_force_iso_kgf,operation_bucket crowd_force_iso_kgf,operation_digging_depth_maximum_mm,operation_digging_reach_maximum_mm,operation_maximum_reach_@_ground_level,operation_swing_radius_mm,coolant_and_lubricant_capacity_swing_motor,hydraulic_system_for_implement_and_travel,hydraulic_system_for_swing,hydraulic_system_bottom_dump,coolant_and_lubricant_capacity_pto,weights_without_blade,weights_with_blade,swing_system_swing_torque,operation_bucket_digging_force_iso_kgf,engine_horsepower_iso_9249_sae_j1349,engine_horsepower_fan_at_maximum_speed,undercarriage_centre_frame,coolant_and_lubricant_capacity_radiator,dimensions_transport_position_track_length_on_ground_mm_transport,dimensions_transport_position_overall_width_mm,dimensions_transport_position_overall_height_mm_to_top_of_cab,dimensions_transport_position_ground_clearance_mm_counterweight,operation_boom_size_m,operation_arm_size_m,operation_arm_crowd_force_iso_kn,operation_bucket crowd_force_iso_kn,weights_pc2008m0,weights_pc200lc8m0,dimensions_transport_position,hydraulic_system_fan,drives_and_brakes_travel_gear,swing_system_swing_gear,swing_system_swing_holding_brakes,coolant_and_lubricant_capacity_travel_gear_each_side,coolant_and_lubricant_capacity_hydraulic_system,weights_pc21011,weights_pc210lc11,weights_pc2208m0,weights_pc220lc8m0,weights_pc228us11,weights_pc228uslc11,weights_pc228us8 without_blade,weights_pc228us8 with_blade,weights_pc228uslc8 without_blade,weights_pc228uslc8 with_blade,dimensions_arm_length,dimensions_boom_length,weights_pc2708,weights_pc270lc8,operation,weights_pc3008m0,weights_pc300lc8m0,engine_number_od_cylinders,engine_rated_power,hydraulic_system_maximum_hydraulic_pump_flows,hydraulic_system_swing_flow_rate,hydraulic_system_high_pressure_in_line_filters,drives_and_brakes_type,drives_and_brakes_power_output,drives_and_brakes_voltage,drives_and_brakes_amperage,drives_and_brakes_frequency_standard,drives_and_brakes_frequency_option,drives_and_brakes_travel_control,drives_and_brakes_travel_speed,electric_system_system,electric_system_batteries_seriesparallel,electric_system_alternator,electric_system_standard_working_lights,electric_system_standard_service_lights,swing_system_hydraulic_motors_and_drives,swing_system_swing_brake_service,swing_system_service_brake_parking,swing_system_swing_ring_teeth,coolant_and_lubricant_capacity_hydraulic_oil_tank,bucket_standard,bucket_other_optional_available_sizes,coolant_and_lubricant_capacity_diesel_exhaust_fluid_def_tank,hydraulic_system_rated_flow,coolant_and_lubricant_capacity_engine_oil,coolant_and_lubricant_capacity_reverse_engine_oil_make_up_tank,hydraulic_system_implement_circuits_backhoe,hydraulic_system_implement_circuit_loading_shovel,electric_system_battery_charger,hydraulic_system_boom_offset,hydraulic_system_heavy_lift_circuit
excavators,pc360lc-11,Komatsu SAA6D114E-6,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",6,114 mm x 144.5 mm,8.85 ltr,202 kW / 271 HP,192 kW / 257 HP,1950,Mechanical,EPA Tier 4,HydrauMind System,6,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",535 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,285 kgf/cm3,Two levers with pedals,Fully hydrostatic,290 kN 29570 kgf,3.2 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydraulic motor,Planetary gear,Grease-bathed,Hydraulic lock,9.5 rpm,605 ltr,37 ltr,35 ltr,,13.7 ltr,188 ltr,39 ltr,"35,950 - 37,440 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-140 mm x 1480 mm x 100 mm,1-160 mm x 1825 mm x 110 mm,1-140 mm x 1285 mm x 100 mm,70 %,Mechanical disc brake,X-frame,Box-section,Sealed track,Hydraulic,48,2,8,600 mm triple grouser,,,9.0 ltr,,,11145,4030,2590,3190,3285,498,6.5 Heavy duty,3.2 Heavy duty,17400,23200,7380,11100,10920,3445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc360lci-11,Komatsu SAA6D114E-6,"Water-cooled, 4-cycle, direct injection","Variable geometry turbocharged, aftercooled",6,114 mm x 144.5 mm,8.85 ltr,202 kW / 271 HP,192 kW / 257 HP,1950,Mechanical,EPA Tier 4,HydrauMind System,6,Variable displacement axial piston type,"Boom, arm, bucket, swing, and travel circuits",535 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,285 kgf/cm3,Two levers with pedals,Hydrostatic,290 kN 29570 kgf,3.2 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydraulic motor,Planetary gear,Grease-bathed,Hydraulic lock,9.5 rpm,605 ltr,37 ltr,35 ltr,,13.7 ltr,188 ltr,,"36,490 - 37,440 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-140 mm x 1480 mm x 100 mm,1-160 mm x 1825 mm x 110 mm,1-140 mm x 1285 mm x 100 mm,70 %,Mechanical disc brake,X-frame,Box-section,Sealed track,Hydraulic,48,2,8,,,,9.0 ltr,,,11145,4030,2590,3190,3285,498,6.5 Heavy duty,3.2 Heavy duty,17400,23200,7380,11100,10920,3445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39 ltr,,,,,,,,
excavators,pc4000-11,Komatsu SDA16V160E-2,"4-cycle, water-cooled, direct injection","Turbocharged, aftercooled",16,,,,1400 kW / 1875 HP,1800,,EPA Tier 4,Open circuit hydraulics,,,,,,,,,,,,,,,,,,,,4.0 rpm,"6,910 ltr",475 ltr,,,,,587ltr,"393,000 - 409,000 kg",,,,,,,,,,,Automatic Hydraulic type,49,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,900 ltr",,,,,,,,,,,,,,,,,,16,1400 kW / 1874 HP,,"1,590 ltr/min",200 microns,,,,,,,,,24 V,2 x 2 x 12 V,260 A,14 LED lights,Throughout the platform,2,Hydraulic brake,Multiple-disc,External,"3,900 ltr",,,,"4,140 ltr/min",290 ltr,,,,,,
excavators,pc450lc-8,Komatsu SAA6D125E-5,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",6,125 mm x 150 mm,11.04 ltr,270 kW / 362 HP,257 kW / 345 HP,1900,Mechanical,EPA Tier 3,HydrauMind System,4,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",690 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,285 kgf/cm3,Two levers with pedals,Fully hydrostatic,"330 kN 33,700 kgf",3.0 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,9.1 rpm,650 ltr,36 ltr,37 ltr,,20 ltr,248 ltr,None,"44,400 - 44,850 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-160 mm x 1570 mm x 110 mm,1-185 mm x 1985 mm x 130 mm,1-160 mm x 1270 mm x 110 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,49,2,8,600 mm triple grouser,,,10.5 ltr,,,12040,4350,2740,3340,3660,550,7.1 Standard,3.4 Standard,23800,28300,7790,12005,11800,3645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc450lc-8se,Komatsu SAA6D125E-5,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",6,125 mm x 150 mm,11.04 ltr,270 kW / 362 HP,257 kW / 345 HP,1900,Mechanical,EPA Tier 3,HydrauMind System,4,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",690 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,295 kgf/cm3,Two levers with pedals,Fully hydrostatic,"330 kN 33,700 kgf",3.0 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,9.1 rpm,650 ltr,36 ltr,37 ltr,,20 ltr,248 ltr,None,"46,440 - 47,470 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-160 mm x 1570 mm x 110 mm,1-185 mm x 1985 mm x 130 mm,1-160 mm x 1270 mm x 110 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,49,2,8,600 mm triple grouser,,,10.5 ltr,,,11590,4350,2740,3430,3720,685,6.7 Heavy duty,2.9 Heavy duty,26200,28300,6902,11083,10868,3645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc45mr-5,Komatsu 4D88E-7,"Water-cooled, 4-cycle, direct injection",Cooled EGR,4,88 mm x 90 mm,2.189 ltr,29.1 kW / 39 HP,28.3 kW / 38 HP,2400,Mechanical,EPA Tier 4 Final,HydrauMind System,2,"Variable displacement, axial piston","Boom, arm, bucket, and travel circuits",153.3 ltr/min,2 x axial piston motors with parking brake,1 x axial piston motor with swing holding brake,270 kgf/cm3,270 kgf/cm3,220 kgf/cm3,Two levers with pedals,Fully hydrostatic,42 kN 4280 kgf,2.6 / 4.6 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,9 rpm,65 ltr,8.9 ltr,8.1 ltr,,,55 ltr,None,"4,860 - 4,980 kg",32 kgf/cm3,Bore x Stroke x Rod diameter,1-90 mm x 691 mm x 50 mm,1-80 mm x 649 mm x 50 mm,1-70 mm x 580 mm x 45 mm,30 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,39,1,4,,,,0.7 ltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc490lc-11,Komatsu SAA6D125E-7,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",6,125 mm x 150 mm,11.04 ltr,270 kW / 362 HP,268 kW / 359 HP,1900,Hydraulic,EPA Tier 4 Final,HydrauMind System,6,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",780 ltr/min,2 x axial piston motor with parking brake,1 x axial piston motor with swing holding brake,380 kgf/cm3,380 kgf/cm3,285 kgf/cm3,Two levers with pedals,Fully hydrostatic,329 kN 33510 kgf,3.0 / 5.5 km/h,Hydraulic lock,Mechanical disc brake,Hydraulic motor,Planetary gear,Grease-bathed,Hydraulic lock,9.1 rpm,650 ltr,47 ltr,38 ltr,,20 ltr,248 ltr,39,"47,890 - 49,680 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,2-160 mm x 1570 mm x 110 mm,1-185 mm x 1820 mm x 120 mm,1-160 mm x 1270 mm x 110 mm,70 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,49,2,8,600 mm triple grouser,,,11.0 ltr,,,11930,4350,2740,3340,3635,568,7.0 Heavy duty,3.4 Heavy duty,21800,28000,7755,12030,11810,3645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc5500-6,2 x Komatsu SDA12V159E-2,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",12,,,,2 x 940 kW / 2 x 1260 HP,1800,,EPA Tier 2,Open circuit hydraulics,,,,,,,,,,,,,,Hydraulic brake,"Wet, multiple-disc",,,,,3.1 rpm,"10,355 ltr",2 x 360 ltr,,,,,None,"539,000 - 552,000 kg",,,,,,50 %,,,Steel box-section,,Automatic Hydraulic type,46,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H-type,,,,,,,,,,,,,,,,,,"6,000 ltr",,,,,,,,,,,,,,,,,,,,,700 ltr/min,200 microns,2 x Squirrel cage induction motor,2 x 900 kW,6.000 - 7.200 V,2 x 96 A - 2 x 80 A,60 Hz @ 1800 rpm,50 Hz @ 1500 rpm,2 foot pedals,Max 2.1 km/h,24 V,4 x 12 V,,14 LED lights,throughout the platform,2,Hydraulic brake,"Wet, multiple-disc",External,"3,715 ltr",,,,"4,200 ltr/min",2 x 190 ltr,2 x 500 ltr,,,,,
excavators,pc55mr-5,Komatsu 4D88E-7,"Water-cooled, 4-cycle, direct injection",Cooled EGR,4,88 mm x 90 mm,2.189 ltr,29.1 kW / 39 HP,28.3 kW / 38 HP,2400,Mechanical,EPA Tier 4 Final,HydrauMind System,2,"Variable displacement, axial piston","Boom, arm, bucket, and travel circuits",153.3 ltr/min,2 x axial piston motors with parking brake,1 x axial piston motor with swing holding brake,270 kgf/cm3,270 kgf/cm3,220 kgf/cm3,Two levers with pedals,Fully hydrostatic,42 kN 4280 kgf,2.6 / 4.6 km/h,Hydraulic lock,Mechanical disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,9 rpm,65 ltr,8.9 ltr,8.1 ltr,,,55 ltr,None,"5,140 - 5,260 kg",32 kgf/cm3,Bore x Stroke x Rod diameter,1-90 mm x 691 mm x 50 mm,1-85 mm x 733 mm x 55 mm,1-75 mm x 580 mm x 50 mm,30 %,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,39,1,4,,,,0.7 ltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excavators,pc600lc-8e0,Komatsu SAA6D140E-5,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",6,140 mm x 165 mm,15.24 ltr,323 kW / 433 HP,320 kW / 429 HP,1800,Hydraulic,EPA Tier 3,Open-center load-sensing System,3,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",2 x 410 ltr/min,2 x axial piston motor with parking brake,2 x axial piston motor with swing holding brake,,350 kgf/cm3,260 kgf/cm3,Two levers with pedals,Fully hydrostatic,415 kN 42300 kgf,3.0/4.9 km/h,Hydraulic lock,Oil disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,8.3 rpm,880 ltr,58 ltr,40 ltr,,2 x 13 ltr,360 ltr,None,"60,200 - 61,900 kg",30 kgf/cm3,Bore x Stroke x Rod diameter,2-185 mm x 1725 mm x 120 mm,1-200 mm x 2045 mm x 140 mm,1-185 mm x 1425 mm x 130 mm,70 %,Oil disc brake,,Box-section,Sealed track,Hydraulic,52,3,9,750 mm triple grouser,,,10 ltr,,,12590,4600,2590,3190,4300,780,7.7 Standard,3.5 Standard,25100,32300,8165,12615,12385,3950,,,,,,,,,,,,H-frame leg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325 kgf/cm3,300 kgf/cm3,,,
excavators,pc600lc-8e0se,Komatsu SAA6D140E-5,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",6,140 mm x 165 mm,15.24 ltr,323 kW / 433 HP,320 kW / 429 HP,1800,Hydraulic,EPA Tier 3,Open-center load-sensing System,3,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",2 x 410 ltr/min,2 x axial piston motor with parking brake,2 x axial piston motor with swing holding brake,,350 kgf/cm3,260 kgf/cm3,Two levers with pedals,Fully hydrostatic,415 kN 42300 kgf,3.0 / 4.0 km/h,Hydraulic lock,Oil disc brake,Hydrostatic,Planetary gear,Grease-bathed,Hydraulic lock,8.3 rpm,880 ltr,58 ltr,40 ltr,,2 x 13 ltr,360 ltr,None,"63,300 kg",30 kgf/cm3,Bore x Stroke x Rod diameter,2-185 mm x 1725 mm x 120 mm,1-200 mm x 2045 mm x 140 mm,1-185 mm x 1425 mm x 130 mm,70 %,Oil disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,52,3,9,750 mm triple grouser,,,10 ltr,,,11980,4600,3300,4050,4600,780,6.6 Heavy duty,2.9 Heavy duty,27700,34300,7060,11550,11300,3950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325 kgf/cm3,300 kgf/cm3,,,
excavators,pc7000-11,Komatsu SSDA16V159E-2,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",16,,,,2 x 1250 kW / 2 x 1675 HP,1800,,EPA Tier 2,Open circuit hydraulics,,,,,,,,,,,,,,Hydraulic brake,"Wet, multiple-disc",,,,,3.1 rpm,"13,033 ltr",2 x 440 ltr,,,,,None,"684,000 - 694,000 kg",,,,,,50 %,,,Steel box-section,,Automatic Hydraulic type,48,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H-type,,,,,,,,,,,,,,,,,,"9,500 ltr",,,,,,,,,,,,,,,,,,,,,"1,035 ltr/min",200 microns,2 x Squirrel cage induction motor,2 x 1200 kW,6.000 - 7.200 V,2 x 128 A - 2 x 107 A,60 Hz @ 1800 rpm,50 Hz @ 1500 rpm,2 foot pedals,Max 2.5 km/h,24 V,4 x 12 V,,16 LED lights,throughout the platform,3,Hydraulic brake,"Wet, multiple-disc",External,"4,750 ltr",,,,"6,210 ltr/min",2 x 236 ltr,2 x 665 ltr,,,3 x 100 A,,
excavators,pc78uu-10,Komatsu SAAD95LE-6,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",4,95 mm x 115 mm,3.26 ltr,50.7 kW / 68.0 HP,48.8 kW / 65.5 HP,1950,Mechanical,EPA Tier 4 Final,HydrauMind System,,"Variable displacement, axial piston","Boom, arm, bucket, and travel circuits",160 ltr/min,2 x piston motor with parking brake,1 x piston motor with swing holding brake,270 kgf/cm3,270 kgf/cm3,210 kgf/cm3,Two levers with pedals,Fully hydrostatic,66.9 kN 6820 kgf,2.9 / 5.0 km/h,Hydraulic lock,Mechanical disc,Hydraulic motor,Planetary gear,Grease-bathed,,10 rpm,125 ltr,10 ltr,11.5 ltr,,2.0 ltr,102 ltr,None,"7,960 kg",,Bore x Stroke x Rod diameter,1-120 mm x 1015 mm x 70 mm,1-110 mm x 715 mm x 65 mm,1-90 mm x 710 mm x 55 mm,,Mechanical disc brake,X-frame leg,Box-section,Sealed track,Hydraulic,39,1,5,,,,1.1 ltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-110 mm x 350 mm x 55 mm,
excavators,pc8000-6,2 x Komatsu SDA16V160E-2,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled",16,,,,2 x 1500 kW / 2 x 2010 HP,1800,,EPA Tier 2,Open circuit hydraulics,,,,,,,,,,,,,,Hydraulic brake,"Wet, multiple-disc",,,,,2.7 rpm,"13,925 ltr",2 x 430 ltr,,,,,None,"740,000 - 771,000 kg",,,,,,50 %,,,Steel box-section,,Automatic Hydraulic type,49,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H-type,,,,,,,,,,,,,,,,,,"11,500 ltr",,,,,,,,,,,,,,,,,,,,,"2,070 ltr/min",200 microns,2 x Squirrel cage induction motor,2 x 1450 kW,6.000 - 7.200 V,2 x 155 A - 2 x 128 A,60 Hz @ 1800 rpm,50 Hz @ 1500 rpm,2 foot pedals,Max 2.4 km/h,24 V,4 x 12 V,,14 LED lights,throughout the platform,3,Hydraulic brake,"Wet, multiple-disc",External,"7,750 ltr",,,,"8,280 ltr/min",2 x 290 ltr,"2 x 1,056 ltr",,,,,
excavators,pc850se-8e0,Komatsu SAA6D140E-5,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",6,140 mm x 165 mm,15.24 ltr,370 kW / 496 HP,363 kW / 487 HP,1800,Hydraulic,EPA Tier 3,Open-center load-sensing System,2,Variable displacement piston type,"Boom, arm, bucket, swing, and travel circuits",2 x 494 ltr/min,2 x axial piston motor with parking brake,2 x axial piston motor with swing holding brake,320 kgf/cm3,350 kgf/cm3,290 kgf/cm3,Two levers with pedals,Fully hydrostatic,559 kN 57000 kgf,2.8 / 4.2 km/h,Hydraulic lock,Oil disc brake,Hydraulic motors,Planetary gear,Grease-bathed,,6.8 rpm,980 ltr,100 ltr,53 ltr,,2 x 24.5 ltr,470 ltr,None,"78,600 - 79,800 kg",30 kgf/cm3,Bore x Stroke x Rod diameter,2-200 mm x 1950 mm x 140 mm,1-185 mm x 1610 mm x 120 mm,1-225 mm x 1420 mm x 160 mm,70 %,Oil disc brake,H-frame leg,Box-section,Sealed track,Hydraulic,47,3,8,610 mm double grouser,,,20 ltr,,,13130,4500,3500,4110,4615,840,7.1 Heavy duty,2.945 Heavy duty,38100,48000,7130,12265,11945,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 kgf/cm3
excavators,pc88mr-10,Komatsu SAAD95LE-6,"Water-cooled, 4-cycle, direct injection","Turbocharged, aftercooled, cooled EGR",4,95 mm x 115 mm,3.26 ltr,50.7 kW / 68 HP,48.8 kW / 65.5HP,1950,Mechanical,EPA Tier 4 Final,HydrauMind System,6,"Variable displacement, axial piston","Boom, arm, bucket, and travel circuits",160 ltr/min,2 x piston motor with parking brake,1 x piston motor with swing holding brake,270 kgf/cm3,270 kgf/cm3,215 kgf/cm3,Two levers with pedals,Fully hydrostatic,66.9 kN 6820 kgf,2.8 / 5.0 km/h,Hydraulic lock,Mechanical disc,Hydraulic motor,Planetary gear,Grease-bathed,,10 rpm,125 ltr,13 ltr,11.5 ltr,,2.8 ltr,56 ltr,None,"8,500 - 8,750 kg",33 kgf/cm3,Bore x Stroke x Rod diameter,1-115 mm x 988 mm x 65 mm,1-100 mm x 861 mm x 60 mm,1-90 mm x 710 mm x 55 mm,,Mechanical disc,X-frame leg,Box-section,Sealed track,Hydraulic,39,1,5,,,,1.1 ltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
