dump-trucks_730e-8,dump-trucks_730e-8_SPECS-1,dump-trucks_730e-8_SPECS-2,dump-trucks_730e-8_SPECS-3,dump-trucks_830e-1ac,dump-trucks_830e-1ac_SPECS-1,dump-trucks_830e-1ac_SPECS-2,dump-trucks_830e-1ac_SPECS-3,dump-trucks_830e-5,dump-trucks_830e-5_SPECS-1,dump-trucks_830e-5_SPECS-2,dump-trucks_830e-5_SPECS-3,dump-trucks_930e-4se,dump-trucks_930e-4se_SPECS-1,dump-trucks_930e-4se_SPECS-2,dump-trucks_930e-4se_SPECS-3,dump-trucks_930e-5,dump-trucks_930e-5_SPECS-1,dump-trucks_930e-5_SPECS-2,dump-trucks_930e-5_SPECS-3,dump-trucks_980e-4,dump-trucks_980e-4_SPECS-1,dump-trucks_980e-4_SPECS-2,dump-trucks_980e-4_SPECS-3,dump-trucks_hd1500-8,dump-trucks_hd1500-8_SPECS-1,dump-trucks_hd1500-8_SPECS-2,dump-trucks_hd405-7,dump-trucks_hd405-7_SPECS-1,dump-trucks_hd405-7_SPECS-2,dump-trucks_hd405-8,dump-trucks_hd405-8_SPECS-1,dump-trucks_hd405-8_SPECS-2,dump-trucks_hd605-7e0,dump-trucks_hd605-7e0_SPECS-1,dump-trucks_hd605-7e0_SPECS-2,dump-trucks_hd605-8,dump-trucks_hd605-8_SPECS-1,dump-trucks_hd605-8_SPECS-2,dump-trucks_hd785-7,dump-trucks_hd785-7_SPECS-1,dump-trucks_hd785-7_SPECS-2,dump-trucks_hm300-5,dump-trucks_hm300-5_SPECS-1,dump-trucks_hm300-5_SPECS-2,dump-trucks_hm400-5,dump-trucks_hm400-5_SPECS-1,dump-trucks_hm400-5_SPECS-2
Frame,Top and bottom plate thickness,32 mm,,Frame,Rail depth (minimum),864 mm,,Frame,Top and bottom plate thickness,32 mm,,Frame,Rail depth (minimum),864 mm,,Frame,Rail depth (minimum),864 mm,,Electric System,Cranking motors,Two 24 V,,Hydraulic System,Raise,13.5 sec,Hydraulic System,Hoist cylinder,"Twin, two-stage telescopic type",Hydraulic System,Hoist cylinder,"Twin, two-stage telescopic type",Hydraulic System,Hoist cylinder,"Twin, two-stage telescopic type",Main Frame,Type,Box-sectioned structure,Hydraulic System,Hoist cylinder,"Twin, two-stage telescopic type",Service Refill Capacities,Engine oil,35 ltr,Service Refill Capacities,Engine oil,50 ltr
Frame,Side plate thickness,19 mm,,Frame,Top and bottom plate thickness,32 mm,,Frame,Side plate thickness - rear,16 mm,,Frame,Top and bottom plate thickness,45 mm,,Frame,Top and bottom plate thickness,45 mm,,Frame,Plate material,482.6 MPa tensile strength steel,,Hydraulic System,Lower,12.5 sec,Hydraulic System,Relief pressure,20.6 MPa  210 kg/cm2,Hydraulic System,Relief pressure,20.6 MPa  210 kg/cm2,Hydraulic System,Relief pressure,20.6 MPa  210 kg/cm2,Service Refill Capacities,Fuel tank,800 ltr,Hydraulic System,Relief pressure,20.6 MPa  210 kg/cm2,Service Refill Capacities,"Torque converter, transmission and retarder cooling",80 ltr,Service Refill Capacities,"Torque converter, transmission and retarder cooling",125 ltr
Frame,Drive axle mounting,Pin and spherical bushing,,Frame,Side plate thickness,16 mm,,Frame,Side plate thickness - front,16 mm,,Frame,Side plate thickness,25 mm,,Frame,Side plate thickness,25 mm,,Frame,Casting material,620.5 MPa tensile strength steel,,Main Frame,Type,Box-sectioned structure. Integral front bumper,Hydraulic System,Hoist time,10 sec,Hydraulic System,Hoist time,10 sec,Hydraulic System,Hoist time,11.5 sec,Service Refill Capacities,Engine oil,80 ltr,Hydraulic System,Hoist time,,Service Refill Capacities,Differentials (total),71.5 ltr,Service Refill Capacities,Differentials (total),108 ltr
Frame,Drive axle alignment,Swing link between frame and axle,,Frame,Drive axle mounting,Pin and spherical bushing,,Frame,Drive axle mounting,Pin and spherical bushing,,Frame,Drive axle mounting,Pin and spherical bushing,,Frame,Drive axle mounting,Pin and spherical bushing,,Frame,Rail width,305 mm,,Service Refill Capacities,Fuel tank,2120 ltr,Main Frame,Type,Box-sectioned structure,Main Frame,Type,Box-sectioned structure,Main Frame,Type,Box-sectioned structure,Service Refill Capacities,"Torque converter, transmission and retarder cooling",215 ltr,Hydraulic System,Raise,13 sec,Service Refill Capacities,Final drives (total),23 ltr,Service Refill Capacities,Final drives (total),32 ltr
Hydraulic System,Steering,Accumulator assisted with twin double acting cylinders provide constant rate steering. Secondary steering automatically supplied by accumulator,,Frame,Drive axle alignment,Swing link between frame and axle,,Frame,Drive axle alignment,Swing link between frame and axle,,Frame,Drive axle alignment,Swing link between frame and axle,,Frame,Drive axle alignment,Swing link between frame and axle,,Frame,Rail depth (minimum),864 mm,,Service Refill Capacities,Engine oil,230 ltr,Service Refill Capacities,Fuel tank,484 ltr,Service Refill Capacities,Fuel tank,456 ltr,Service Refill Capacities,Fuel tank,780 ltr,Service Refill Capacities,Differentials,95 ltr,Hydraulic System,Lower,14 sec,Service Refill Capacities,Hydraulic system,103 ltr,Service Refill Capacities,Hydraulic system,167 ltr
Hydraulic System,Turning circle diameter (SAE),27.2 m,,Hydraulic System,Steering,Accumulator assisted with twin double acting cylinders provide constant rate steering. Secondary steering automatically supplied by accumulator,,Hydraulic System,Steering,Accumulator assisted with twin double acting cylinders provide constant rate steering. Secondary steering automatically supplied by accumulator.,,Hydraulic System,Steering,Accumulator assisted twin double acting cylinders provide constant rate steering. Emergency steering automatically applied by accumulator.,,Hydraulic System,Steering,Accumulator assisted twin double acting cylinders provide constant rate steering. Emergency steering automatically applied by accumulator.,,Frame,Top and bottom plate thickness,45 mm,,Service Refill Capacities,Differential,439 ltr,Service Refill Capacities,Engine oil,50 ltr,Service Refill Capacities,DEF tank,34.7 ltr,Service Refill Capacities,Engine oil,80 ltr,Service Refill Capacities,Final drives (total),42 ltr,Main Frame,Type,Box-sectioned structure. Integral front bumper,Service Refill Capacities,Suspension (total),10.4 ltr,Service Refill Capacities,Suspension (total),21.4 ltr
Hydraulic System,Reservoir,511 ltr,,Hydraulic System,Turning circle diameter (SAE),28.4 m,,Hydraulic System,Turning circle diameter (SAE),29.3 m,,Hydraulic System,Turning circle diameter (SAE),29.7 m,,Hydraulic System,Turning circle diameter (SAE),29.7 m,,Frame,Side plate thickness - rear,25 mm,,Service Refill Capacities,Final drives (total),214 ltr,Service Refill Capacities,"Torque converter, transmission and retarder cooling",90 ltr,Service Refill Capacities,Engine oil,50 ltr,Service Refill Capacities,"Torque converter, transmission and retarder cooling",215 ltr,Service Refill Capacities,Hydraulic system,149 ltr,Service Refill Capacities,Fuel tank,1308 ltr,Steering System,Type,"Articulated type, fully hydraulic power steering with double-acting cylinders",Steering System,Type,"Articulated type, fully hydraulic power steering with two double-acting cylinders"
Hydraulic System,Filtration,In-line replacement elements,,Hydraulic System,Reservoir,901 ltr,,Hydraulic System,Reservoir,947 ltr,,Hydraulic System,Reservoir,947 ltr,,Hydraulic System,Reservoir,947 ltr,,Frame,Side plate thickness - front,32 mm,,Service Refill Capacities,Hydraulic system,316 ltr,Service Refill Capacities,Differentials,45 ltr,Service Refill Capacities,"Torque converter, transmission and retarder cooling",112 ltr,Service Refill Capacities,Differentials,95 ltr,Service Refill Capacities,Suspension (total),66.2 ltr,Service Refill Capacities,Engine oil,129 ltr,Steering System,Supplementary steering,"Automatically actuated, electrically powered",Steering System,Supplementary steering,"Automatically actuated, electrically powered"
Hydraulic System,Suction,"Single, full-flow, 100 mesh",,Hydraulic System,Filtration,In-line replaceable elements,,Hydraulic System,Filtration,In-line replaceable elements,,Hydraulic System,Filtration,In-line replaceable elements,,Hydraulic System,Filtration,In-line replaceable elements,,Frame,Drive axle mounting,Pin and spherical bushing,,Service Refill Capacities,Transmission,129 ltr,Service Refill Capacities,Final drives (total),30 ltr,Service Refill Capacities,Differentials,45 ltr,Service Refill Capacities,Final drives (total),42 ltr,Steering System,Type,Fully hydraulic power steering with two double-acting cylinders,Service Refill Capacities,"Torque converter, transmission and retarder cooling",205 ltr,Steering System,Standard,ISO5010  SAE J1511,Steering System,Standard,ISO5010  SAE J1511
Hydraulic System,Hoist and steering,"Dual, in-line, high pressure",,Hydraulic System,Suction,"Single, full-flow, 100 mesh",,Hydraulic System,Suction,"Single, full-flow, 100 mesh",,Hydraulic System,Suction,"Single, full-flow, 100 mesh",,Hydraulic System,Suction,"Single, full-flow, 100 mesh",,Frame,Drive axle alignment,Swing link between frame and axle,,Service Refill Capacities,Cooling system,342 ltr,Service Refill Capacities,Hydraulic system,129 ltr,Service Refill Capacities,Final drives (total),30 ltr,Service Refill Capacities,Hydraulic system,122 ltr,Steering System,Supplementary steering,"Manually controlled (meets ISO5010, SAEJ1511 and SAEJ53)",Service Refill Capacities,Differential,137 ltr,Steering System,"Minimum turning radius, wall to wall",8.10 m,Steering System,"Minimum turning radius, wall to wall",8.8 m
Hydraulic System,Brake component cabinet,"Above deck, easily accessible with diagnostic test connections",,Hydraulic System,Hoist and steering,"Dual, in-line, high-pressure",,Hydraulic System,Hoist and steering,"Dual, in-line, high-pressure",,Hydraulic System,Hoist and steering,"Dual, in-line, high-pressure",,Hydraulic System,Hoist and steering,"Dual, in-line, high-pressure",,Hydraulic System,Steering,Steering: Accumulator assisted with twin double acting cylinders provide constant rate steering. Secondary steering automatically supplied by accumulator.,,Steering System,Type,Fully hydraulic power steering with two double-acting cylinders,Service Refill Capacities,Suspension (total),44.2 ltr,Service Refill Capacities,Hydraulic system,120 ltr,Service Refill Capacities,Suspension (total),55.6 ltr,Steering System,Minimum turning radius,8.7 m,Service Refill Capacities,Final drives (total),128 ltr,Steering System,Articulation angle,45° each direction,Steering System,Articulation angle,45° each direction
Hydraulic System,Hoist,"Two 3-stage dual-acting outboard cylinders, internal cushion valve, over-centre dampening",,Hydraulic System,Brake component cabinet,"Above deck, easily accessible with diagnostic test connections",,Hydraulic System,Brake component cabinet,"Above deck, easily accessible with diagnostic test connections",,Hydraulic System,Brake component cabinet,"Above deck, easily accessible with diagnostic test connections",,Hydraulic System,Brake component cabinet,"Above deck, easily accessible with diagnostic test connections",,Hydraulic System,Turning circle diameter (SAE),32 m,,Steering System,Supplementary steering,Accumulator assist,Steering System,Type,Fully hydraulic power steering with two double-acting cylinders,Service Refill Capacities,Suspension (total),44.2 ltr,Steering System,Type,Fully hydraulic power steering with two double-acting cylinders,Steering System,Maximum steering angle,39°,Service Refill Capacities,Hydraulic system,175 ltr,Suspension System,Front,Hydro-pneumatic suspension,Suspension System,Front,Hydro-pneumatic suspension
Hydraulic System,Hoist times:,,,Hydraulic System,Hoist,"Two 3-stage dual-acting outboard cylinders, internal cushion valve, over-centre damping",,Hydraulic System,Hoist,"Two 3-stage dual-acting outboard cylinders, internal cushion valve, over-centre dampening",,Hydraulic System,Hoist,"Two 3-stage dual-acting outboard cylinders, internal cushion valve, over-centre dampening",,Hydraulic System,Hoist,"Two 3-stage dual-acting outboard cylinders, internal cushion valve, over-centre dampening",,Hydraulic System,Reservoir,947 ltr,,Steering System,Minimum turning radius,11.2 m,Steering System,Supplementary steering,"Manual control (meets ISO5010, SAEJ1511 and SAEJ53)",Steering System,Type,Fully hydraulic power steering with two double-acting cylinders,Steering System,Supplementary steering,"Manually controlled (meets ISO5010, SAEJ1511)",Suspension System,Effective cylinder stroke (front suspension),303 mm,Service Refill Capacities,Brake control,36 ltr,Suspension System,Rear,Combined hydro-pneumatic and rubber suspension system,Suspension System,Rear,Combined hydro-pneumatic and rubber suspension system
Hydraulic System,Power-up loaded,19 sec,,Hydraulic System,Hoist times:,,,Hydraulic System,Hoist times:,,,Hydraulic System,Hoist times:,,,Hydraulic System,Hoist times:,,,Hydraulic System,Filtration,In-line replaceable elements,,Steering System,Maximum steering angle,43°,Steering System,"Minimum turning radius, wall to wall",7.2 m,Steering System,Supplementary steering,"Automatic/manual controlled (meets ISO5010, SAEJ1511 and SAEJ53)",Steering System,Minimum turning radius,8.5 m,Suspension System,Rear axle oscillation:,,Service Refill Capacities,Suspension (total),93 ltr,Transmission,Torque converter,"3-elements, 1-stage, 2-phase",Transmission,Torque converter,"3-elements, 1-stage, 2-phase"
Hydraulic System,Power-down,10.5 sec,,Hydraulic System,Power-up loaded,21 sec,,Hydraulic System,Power-up loaded,23 sec,,Hydraulic System,Power-up loaded,21 sec,,Hydraulic System,Power-up loaded,21 sec,,Hydraulic System,Suction,"Single, full-flow, 100 mesh",,Suspension System,Maximum front stroke,400 mm,Steering System,Maximum steering angle,43°,Steering System,"Minimum turning radius, wall to wall",7.9 m,Steering System,Maximum steering angle,39°,Suspension System,Oil stopper,6.8°,Steering System,Type,Fully hydraulic power steering with two double-acting cylinders,Transmission,Transmission,"Full-automatic, countershaft type",Transmission,Transmission,"Full-automatic, countershaft type"
Hydraulic System,Float-down empty,12 sec,,Hydraulic System,Power-down,16 sec,,Hydraulic System,Power-down,16 sec,,Hydraulic System,Power-down,23 sec,,Hydraulic System,Power-down,23 sec,,Hydraulic System,Hoist and steering,"Dual, in-line, high-pressure",,Suspension System,Maximum rear stroke,160 mm,Suspension System,Effective cylinder stroke (front suspension),250 mm,Steering System,Maximum steering angle,38°,Suspension System,Effective cylinder stroke (front suspension),303 mm,Suspension System,Mechanical stopper,7.7°,Steering System,Supplementary steering,"Meets ISO5010, SAEJ1511",Transmission,Speed range,6 speeds forward and 2 reverse,Transmission,Speed range,6 speeds forward and 2 reverse
Hydraulic System,Pumps:,"Two pumps, single package, end of alternator",,Hydraulic System,Float-down empty,17 sec,,Hydraulic System,Float-down empty,17 sec,,Hydraulic System,Float-down empty,24 sec,,Hydraulic System,Float-down empty,24 sec,,Hydraulic System,Brake component cabinet,"Above deck, easily accessible with diagnostic test connections",,Suspension System,Rear axle oscillation,9.7°,Suspension System,Rear axle oscillation:,,Suspension System,Effective cylinder stroke (front suspension),250 mm,Suspension System,Rear axle oscillation:,,Transmission,Torque converter,"3-elements, 1-stage, 2-phase",Steering System,Minimum turning radius,10.1 m,Transmission,Lockup clutch,"Wet, single-disc clutch",Transmission,Lockup clutch,"Wet, single-disc clutch"
Hydraulic System,Hoist and brake cooling,Tandem gear pump with output of 666 ltr/min at 1900 rpm and 18961 kPa,,Hydraulic System,Pumps:,,,Hydraulic System,Pumps:,"Two pumps, single package, in-line",,Hydraulic System,Pumps:,"Two pumps, single package, end of alternator",,Hydraulic System,Pumps:,"Two pumps, single package, end of alternator",,Hydraulic System,Hoist,"Two 3-stage dual-acting outboard cylinders, internal cushion valve, over-centre dampening",,Transmission,Torque converter,"3-elements, 1-stage, 2-phase",Suspension System,Oil stopper,6.8°,Suspension System,Rear axle oscillation:,,Suspension System,Oil stopper,6.8°,Transmission,Transmission,"Full-automatic, planetary type",Steering System,Maximum steering angle,41°,Transmission,Forward,"Torque converter drive in 1st gear, direct drive in 1st lockup and all higher gears",Transmission,Forward,"Torque converter drive in 1st gear, direct drive in 1st lockup and all higher gears"
Hydraulic System,Steering and brake,Pressure-compensating piston pump with output of 254 ltr/min at 1900 rpm and 19134 kPa,,Hydraulic System,Hoist,Tandem gear pump with output of 851 ltr/min at 1900 rpm and 17240 kPa,,Hydraulic System,Hoist and brake cooling,Tandem gear pump with output of 931 ltr/min at 1900 rpm and 18960 kPa,,Hydraulic System,Hoist,Tandem gear pump with output of 1022 ltr/min at 1900 rpm and 17237 kPa,,Hydraulic System,Hoist,Tandem gear pump with output of 1022 ltr/min at 1900 rpm and 17237 kPa,,Hydraulic System,Hoist times:,,,Transmission,Transmission,"Full-automatic, planetary-shaft type",Suspension System,Mechanical stopper,8.1°,Suspension System,Oil stopper,6.8°,Suspension System,Mechanical stopper,7.7°,Transmission,Speed range,7 speeds forward and 1 reverse,Suspension System,Effective cylinder stroke:,,Transmission,Reverse,Torque converter drive and direct drive in all gear,Transmission,Reverse,Torque converter drive and direct drive in all gear
Hydraulic System,System relief pressures:,,,Hydraulic System,Steering and brake,Pressure-compensating piston pump with output of 246 ltr/min at 1900 rpm and 18961 kPa,,Hydraulic System,Steering and brake,Pressure-compensating piston pump with output of 246 ltr/min at 1900 rpm,,Hydraulic System,Steering and brake,Pressure-compensating piston pump with output of 246 ltr/min at 1900 rpm and 18961 kPa,,Hydraulic System,Steering and brake,Pressure-compensating piston pump with output of 246 ltr/min at 1900 rpm and 18961 kPa,,Hydraulic System,Power-up loaded,21 sec,,Transmission,Speed range,7 forward and 1 reverse,Transmission,Torque converter,"3-elements, 1-stage, 2-phase",Suspension System,Mechanical stopper,8.1°,Transmission,Torque converter,"3-elements, 1-stage, 2-phase",Transmission,Lockup clutch,"Wet, single-disc clutch",Suspension System,Front suspension,320 mm,Transmission,Shift control,Electronic shift control with automatic clutch modulation in all gear,Transmission,Shift control,Electronic shift control with automatic clutch modulation in all gear
Hydraulic System,Hoist,17237 kPa,,Hydraulic System,System relief pressures:,,,Hydraulic System,System relief pressures:,,,Hydraulic System,System relief pressures:,,,Hydraulic System,System relief pressures:,,,Hydraulic System,Power-down,16 sec,,Transmission,Lockup clutch,"Wet, multiple-disc clutch",Transmission,Transmission,"Full-automatic, planetary type",Transmission,Torque converter,"3-elements, 1-stage, 2-phase",Transmission,Transmission,"Full-automatic, planetary type",Transmission,Forward,"Torque converter drive in 1st gear, direct drive in 1st lockup and all higher gears",Suspension System,Rear suspension,127 mm,Transmission,Maximum travel speed,58.6 km/h,Transmission,Maximum travel speed,55.9 km/h
Hydraulic System,Steering and brake,27580 kPa,,Hydraulic System,Hoist,17240 kPa,,Hydraulic System,Hoist and brake cooling,17237 kPa,,Hydraulic System,Hoist and brake cooling,17237 kPa,,Hydraulic System,Hoist and brake cooling,17237 kPa,,Hydraulic System,Float-down empty,17 sec,,Transmission,Forward,Torque converter drive 1st and 2nd gear with direct drive lock-up in 1st through 7th,Transmission,Speed range,7 speeds forward and 1 reverse,Transmission,Transmission,"Full-automatic, planetary type",Transmission,Speed range,7 speeds forward and 1 reverse,Transmission,Reverse,Torque converter drive,Suspension System,Rear axle oscillation,6.5°,Tyres,Standard tyre,23.5 R25,Tyres,Standard tyre,29.5 R25
Service Capacities,Cooling system,441 ltr,,Hydraulic System,Steering and brake,27580 kPa,,Hydraulic System,Steering and brake,20685 kPa,,Hydraulic System,Steering and brake,27579 kPa,,Hydraulic System,Steering and brake,27579 kPa,,Hydraulic System,Pumps:,"Two pumps, single package, in-line",,Transmission,Reverse,Torque converter drive,Transmission,Lockup clutch,"Wet, single-disc clutch",Transmission,Speed range,7 speeds forward and 1 reverse,Transmission,Lockup clutch,"Wet, single-disc clutch",Transmission,Shift control,Electronic shift control with automatic clutch modulation in all gears,Transmission,Torque converter,"3-elements, 1-stage, 2-phase",Weight (Approximate),Empty weight,25395 kg,Weight (Approximate),Empty weight,35005 kg
Service Capacities,Crankcase,223 ltr,,Service Capacities,Cooling system,568 ltr,,Hydraulic System,Ports available for powering disabled truck and for system diagnostics.,,,Hydraulic System,Quick disconnects standard for power disabled truck and for systems diagnostics,,,Hydraulic System,Quick disconnects standard for power disabled truck and for systems diagnostics,,,Hydraulic System,Hoist and brake cooling,Tandem gear pump with output of 931 ltr/min at 1900 rpm and 18960 kPa,,Transmission,Shift control,Electronic shift control with automatic clutch modulation in all gears,Transmission,Forward,"Torque converter drive in 1st gear, direct drive in 1st lockup and all higher gears",Transmission,Lockup clutch,"Wet, single-disc clutch",Transmission,Forward,"Torque converter drive in 1st gear, direct drive in 1st lockup and all higher gears",Transmission,Maximum travel speed,70.0 km/h,Transmission,Transmission,"Full-automatic, planetary-gear type",Weight (Approximate),Gross vehicle weight,53475 kg,Weight (Approximate),Gross vehicle weight,75135 kg
Service Capacities,Hydraulic system,795 ltr,,Service Capacities,Crankcase,280 ltr,,Service Capacities,Cooling system,568 ltr,,Service Capacities,Cooling system,719 ltr,,Service Capacities,Cooling system,594 ltr,,Hydraulic System,Steering and brake,Pressure-compensating piston pump with output of 246 ltr/min at 1900 rpm and 20685 kPa,,Transmission,Maximum travel speed,56.5 km/h,Transmission,Reverse,Torque converter drive,Transmission,Forward,"Torque converter drive in 1st gear, direct drive in 1st lockup and all higher gears",Transmission,Reverse,Torque converter drive,Tyres,Standard tyre,24.00 R35,Transmission,Speed range,"7 forward and 2 reverse (RH, RL)",Weight (Approximate),Empty:,,Weight (Approximate),Empty:,
Service Capacities,Motor gear box (each),38 ltr,,Service Capacities,Hydraulic system,946 ltr,,Service Capacities,Crankcase,363 ltr,,Service Capacities,Crankcase,341 ltr,,Service Capacities,Crankcase,280 ltr,,Hydraulic System,System relief pressures:,,,Tyres,Standard tyre,33.00 R51,Transmission,Shift control,Electronic shift control with automatic clutch modulation in all gears,Transmission,Reverse,Torque converter drive,Transmission,Shift control,Electronic shift control with automatic clutch modulation in all gears,Weight (Approximate),Empty weight,51620 kg,Transmission,Lockup clutch,"Wet, multiple-disc clutch",Weight (Approximate),Front axle,58.9%,Weight (Approximate),Front axle,56.9%
Service Capacities,Fuel,3028 ltr,,Service Capacities,Motor gear box (each),38 ltr,,Service Capacities,Hydraulic system,1325 ltr,,Service Capacities,Hydraulic system,1325 ltr,,Service Capacities,Hydraulic system,1325 ltr,,Hydraulic System,Hoist and brake cooling,17237 kPa,,Weight (Approximate),Empty weight,107600 kg,Transmission,Maximum travel speed,70 km/h,Transmission,Shift control,Electronic shift control with automatic clutch modulation in all gears,Transmission,Maximum travel speed,70.0 km/h,Weight (Approximate),Gross vehicle weight,114700 kg,Transmission,Forward,"Torque converter drive in 1st gear, direct drive in 1st lockup and all higher gears",Weight (Approximate),Centre axle,22.5%,Weight (Approximate),Centre axle,23.6%
Suspension,Max. front stroke:,312 mm,,Service Capacities,Fuel,4542 ltr,,Service Capacities,Motor gear box (each),58 ltr,,Service Capacities,Motor gear box (each),95 ltr,,Service Capacities,Motor gear box (each),95 ltr,,Hydraulic System,Steering and brake,20685 kPa,,Weight (Approximate),Gross vehicle weight,249575 kg,Tyres,Standard tyre,18.00 R33,Transmission,Maximum travel speed,66 km/h,Tyres,Standard tyre,24.00 R35,Weight (Approximate),Empty:,,Transmission,Reverse,"Torque converter drive, direct drive (lockup)",Weight (Approximate),Rear axle,18.6%,Weight (Approximate),Rear axle,19.5%
Suspension,Max. rear stroke,279 mm,,Suspension,Max. front stroke:,335 mm,,Service Capacities,Fuel,4542 ltr,,Service Capacities,Fuel,5300 ltr,,Service Capacities,Fuel,4542 ltr,,Hydraulic System,Ports available for powering disabled truck and for system diagnostics.,,,Weight (Approximate),Empty:,,Weight (Approximate),Empty weight,34400 kg,Tyres,Standard tyre,21.00 R33,Weight (Approximate),Empty weight,46200 kg,Weight (Approximate),Front axle,51%,Transmission,Shift control,Electronic shift control with automatic clutch modulation in all gears,Weight (Approximate),Loaded:,,Weight (Approximate),Loaded:,
Suspension,Max. rear axle oscillation,±5.3°,,Suspension,Max. rear stroke,279 mm,,Suspension,Max. front stroke:,335 mm,,Suspension,Max. front stroke:,328 mm,,Suspension,Max. front stroke:,328 mm,,Service Capacities,Cooling system,719 ltr,,Weight (Approximate),Front axle,52 %,Weight (Approximate),Gross vehicle weight (loaded),74480 kg,Weight (Approximate),Empty weight,37335 kg,Weight (Approximate),Gross vehicle weight,110180 kg,Weight (Approximate),Rear axle,49%,Transmission,Maximum travel speed,65 km/h,Weight (Approximate),Front axle,30.8%,Weight (Approximate),Front axle,30.4%
Tyres and Rims,"Rock service, tubeless, standard tyres",37.00 R57,,Suspension,Max. rear axle oscillation,±10.3°,,Suspension,Max. rear stroke,279 mm,,Suspension,Max. rear stroke,239 mm,,Suspension,Max. rear stroke,239 mm,,Service Capacities,Crankcase,341 ltr,,Weight (Approximate),Rear axle,48 %,Weight (Approximate),Max. gross vehicle weight,75080 kg,Weight (Approximate),Gross vehicle weight,77415 kg,Weight (Approximate),Empty:,,Weight (Approximate),Loaded:,,Tyres,Standard tyre,27.00 R49,Weight (Approximate),Centre axle,36.0%,Weight (Approximate),Centre axle,35.8%
Tyres and Rims,Flange Mount Rim,27” x 57” x 6” Rim Assembly,,Tyres and Rims,"Rock service, tubeless, standard tyres",40.00 R57,,Suspension,Max. rear axle oscillation,±10.3°,,Suspension,Max. rear axle oscillation,±6.5°,,Suspension,Max. rear axle oscillation,±6.5°,,Service Capacities,Hydraulic system,1325 ltr,,Weight (Approximate),Loaded:,,Weight (Approximate),Empty:,,Weight (Approximate),Empty:,,Weight (Approximate),Front axle,47%,Weight (Approximate),Front axle,33%,Weight (Approximate),Empty weight,72000 kg,Weight (Approximate),Rear axle,33.2%,Weight (Approximate),Rear axle,33.8%
Tyres and Rims,Rim Rating,758 kPa cold inflation pressure,,Tyres and Rims,Standard five piece rim,737 mm x 1488 mm x 152 mm rim assembly,,Tyres and Rims,"Rock service, tubeless, standard tyres",50/80 R57,,Tyres and Rims,"Rock service, tubeless, standard tyres",53/80 R63,,Tyres and Rims,"Rock service, tubeless, standard tyres",53/80 R63,,Service Capacities,Motor gear box (each),95 ltr,,Weight (Approximate),Front axle,32.3%,Weight (Approximate),Front axle,50.7%,Weight (Approximate),Front axle,54.2%,Weight (Approximate),Rear axle,53%,Weight (Approximate),Rear axle,67%,Weight (Approximate),Gross vehicle weight,163780 kg,,,,,,
Tyres and Rims,Optional Tyres,"40.00R57, 42/90R57",,Tyres and Rims,Typical tyre weight,21081 kg,,Tyres and Rims,Flange mount rim,813 mm x 1448 mm x 152 mm rim assembly. Rated at 827 kPa (120 psi) cold inflation pressure,,Tyres and Rims,Taper lock,"914 mm x 1600 mm x 127 mm rim assembly. Rated at 758 kPa (110 psi) cold inflation pressure for rims, 600 kPa (87 psi) for tyres.",,Tyres and Rims,"Taper lock, five piece rim",36” x 63” x 5” Rim Assembly  Optional Komatsu Smart Rims Available (Double Gutter Design,,Service Capacities,Fuel,5300 ltr,,Weight (Approximate),Rear axle,67.7%,Weight (Approximate),Rear axle,49.3%,Weight (Approximate),Rear axle,45.8%,Weight (Approximate),Loaded:,,,,,Weight (Approximate),Empty:,,,,,,,
Tyres and Rims,Optional Rim,29” x 57” x 6” Rim Assembly,,Weight (Approximate),Empty weight,164200 kg,,Tyres and Rims,Typical tye weight,23016 kg,,Weight (Approximate),Empty weight,215307 kg,,Tyres and Rims,Typical total tyre weight,26127 kg,,Suspension,Max. front stroke:,303 mm,,,,,Weight (Approximate),Loaded:,,Weight (Approximate),Loaded:,,Weight (Approximate),Front axle,32%,,,,Weight (Approximate),Front axle,47%,,,,,,
Weight (Approximate),Empty weight,146963 kg,,Weight (Approximate),Gross vehicle weight,385848 kg,,Weight (Approximate),Empty weight,182051 kg,,Weight (Approximate),Gross vehicle weight,505755 kg,,Weight (Approximate),Empty weight**,217520 kg,,Suspension,Max. rear stroke,239 mm,,,,,Weight (Approximate),Front axle,32.8%,Weight (Approximate),Front axle,32.9%,Weight (Approximate),Rear axle,68%,,,,Weight (Approximate),Rear axle,53%,,,,,,
Weight (Approximate),Gross vehicle weight,328401 kg,,Weight (Approximate),Empty:,,,Weight (Approximate),Gross vehicle weight,408875 kg,,Weight (Approximate),Empty:,,,Weight (Approximate),Gross vehicle weight,521640 kg,,Suspension,Max. rear axle oscillation,±6.5°,,,,,Weight (Approximate),Rear axle,67.2%,Weight (Approximate),Rear axle,67.1%,,,,,,,Weight (Approximate),Loaded:,,,,,,,
Weight (Approximate),Empty:,,,Weight (Approximate),Front axle,50%,,Weight (Approximate),Empty:,,,Weight (Approximate),Front axle,48.5%,,Weight (Approximate),Empty:,,,Tyres and Rims,"Rock service, tubeless, standard tyres",59/80 R63,,,,,,,,,,,,,,,,,Weight (Approximate),Front axle,31.4%,,,,,,
