wheel-loaders_wa100m-8e0,wheel-loaders_wa100m-8e0_SPECS-1,wheel-loaders_wa100m-8e0_SPECS-2,wheel-loaders_wa1200-6,wheel-loaders_wa1200-6_SPECS-1,wheel-loaders_wa1200-6_SPECS-2,wheel-loaders_wa150-5,wheel-loaders_wa150-5_SPECS-1,wheel-loaders_wa200-8,wheel-loaders_wa200-8_SPECS-1,wheel-loaders_wa200pz-6,wheel-loaders_wa200pz-6_SPECS-1,wheel-loaders_wa250pz-6,wheel-loaders_wa250pz-6_SPECS-1,wheel-loaders_wa270-8,wheel-loaders_wa270-8_SPECS-1,wheel-loaders_wa270-8_SPECS-2,wheel-loaders_wa320-8,wheel-loaders_wa320-8_SPECS-1,wheel-loaders_wa320-8_SPECS-2,wheel-loaders_wa320pz-6,wheel-loaders_wa320pz-6_SPECS-1,wheel-loaders_wa380-6,wheel-loaders_wa380-6_SPECS-1,wheel-loaders_wa380-6_SPECS-2,wheel-loaders_wa380-8,wheel-loaders_wa380-8_SPECS-1,wheel-loaders_wa380-8_SPECS-2,wheel-loaders_wa430-6,wheel-loaders_wa430-6_SPECS-1,wheel-loaders_wa430-6_SPECS-2,wheel-loaders_wa470-7,wheel-loaders_wa470-7_SPECS-1,wheel-loaders_wa470-7_SPECS-2,wheel-loaders_wa470-8,wheel-loaders_wa470-8_SPECS-1,wheel-loaders_wa470-8_SPECS-2,wheel-loaders_wa480-6,wheel-loaders_wa480-6_SPECS-1,wheel-loaders_wa480-6_SPECS-2,wheel-loaders_wa500-7,wheel-loaders_wa500-7_SPECS-1,wheel-loaders_wa500-7_SPECS-2,wheel-loaders_wa500-8-yl,wheel-loaders_wa500-8-yl_SPECS-1,wheel-loaders_wa500-8-yl_SPECS-2,wheel-loaders_wa600-6,wheel-loaders_wa600-6_SPECS-1,wheel-loaders_wa600-6_SPECS-2,wheel-loaders_wa600-8-lc,wheel-loaders_wa600-8-lc_SPECS-1,wheel-loaders_wa600-8-lc_SPECS-2,wheel-loaders_wa70-7,wheel-loaders_wa70-7_SPECS-1,wheel-loaders_wa70-7_SPECS-2,wheel-loaders_wa700-3,wheel-loaders_wa700-3_SPECS-1,wheel-loaders_wa700-3_SPECS-2,wheel-loaders_wa800-3e0,wheel-loaders_wa800-3e0_SPECS-1,wheel-loaders_wa800-3e0_SPECS-2,wheel-loaders_wa900-8r,wheel-loaders_wa900-8r_SPECS-1,wheel-loaders_wa900-8r_SPECS-2
Engine | Model,Komatsu SAA4D94LE-3,,Engine | Model,Komatsu SSD16V160E-2,,Engine | Model,Komatsu SAA4D102E-2,Engine  | Model,Komatsu SAA4D107E-3,Engine | Model,Komatsu SAA6D107E-1,Engine | Model,Komatsu SAA6D107E-1,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D107E-1,Engine | Model,Komatsu SAA6D107E-1,,Engine | Model,Komatsu SAA6D107E-3,,Engine | Model,Komatsu SAA6D114E-3,,Engine | Model,Komatsu SAA6D125E-6,,Engine | Model,Komatsu SAA6D125E-7,,Engine | Model,Komatsu SAA6D125E-5,,Engine | Model,Komatsu SAA6D140E-6,,Engine | Model,Komatsu SAA6D140E-7,,Engine | Model,Komatsu SAA6D170E-5,,Engine | Model,Komatsu SAA6D170E-7,,Engine | Model,Komatsu 4D95LWE-5,,Engine | Model,Komatsu SAA6D170E-3,,Engine | Model,Komatsu SAA12V140E-3,,Engine | Model,Komatsu SAA12V140E-7,
Hydraulic System | Dumping time,1.3s,,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Capacity (at rated rpm),123 ltr/min,Hydraulic System | Capacity (at rated rpm),85 ltr/min 22.5 U.S. gal/min at rated rpm,Hydraulic System | Relief valve setting,20.6 MPa  210 kgf/cm2,Hydraulic System | Relief valve setting,18.6 MPa  190 kgf/cm2,Hydraulic System | Capacity (at rated rpm),150 ltr/min,,Hydraulic System | Capacity (at rated rpm),180 ltr/min,,Hydraulic System | Capacity (at rated rpm),172 ltr/min,Hydraulic System | Capacity (at rated rpm),138 ltr/min,,Hydraulic System | Capacity (at rated rpm),137 ltr/min,,Hydraulic System | Capacity (at rated rpm),137 ltr/min,,Hydraulic System | Capacity (at rated rpm),195 ltr/min,,Hydraulic System | Capacity (at rated rpm),195 ltr/min,,Hydraulic System | Capacity (at rated rpm),195 ltr/min,,Hydraulic System | Capacity (at rated rpm),120 ltr/min,,Hydraulic System | Capacity (at rated rpm),120 ltr/min,,Hydraulic System | Capacity (at rated rpm),163 ltr/min,,Hydraulic System | Capacity (at rated rpm),163 ltr/min,,Hydraulic System | Relief valve setting,23 MPa  234.5 kgf/cm2,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,
Chassis and Tyres | Type,Low build rear axle oscillation for optimum stability and for best performance in earthmoving applications,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Relief valve setting,18.6 MPa  190 kgf/cm2,Hydraulic System | Relief valve setting,"20.6 MPa 210 kgf/cm2 3,000 psi",Hydraulic System | Hydraulic Cylinders:,,Hydraulic System | Hydraulic Cylinders:,,Hydraulic System | Relief valve setting,20.6 MPa  210 kgf/cm2,,Hydraulic System | Relief valve setting,20.6 MPa  210 kgf/cm2,,Hydraulic System | Relief valve setting,20.6 MPa  210 kgf/cm2,Hydraulic System | Relief valve setting,24.5 MPa  250 kgf/cm2,,Hydraulic System | Relief valve setting,24.5 MPa  250 kgf/cm2,,Hydraulic System | Relief valve setting,24.5 MPa  250 kgf/cm2,,Hydraulic System | Relief valve setting,24.5 MPa  250 kgf/cm2,,Hydraulic System | Relief valve setting,24.5 MPa  250 kgf/cm2,,Hydraulic System | Relief valve setting,24.5 MPa  250 kgf/cm2,,Hydraulic System | Relief valve setting,24.5 MPa  250 kgf/cm2,,Hydraulic System | Relief valve setting,24.5 MPa  250 kgf/cm2,,Hydraulic System | Relief valve setting,34.3 MPa  350 kgf/cm2,,Hydraulic System | Relief valve setting,34.3 MPa  350 kgf/cm2,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Bore x stroke,130 mm x 532 mm,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,
Chassis and Tyres | System,4-wheel drive,,Hydraulic System | Bore x stroke,225 mm x 660 mm,,Hydraulic System | Hydraulic Cylinders:,,Hydraulic System | Hydraulic Cylinders:,,Hydraulic System | Type,"Double-acting, piston type",Hydraulic System | Type,"Double-acting, piston type",Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",
Chassis and Tyres | Axles,Planetary rigid axles with automatic limited slip differentials in both axles 100% locking differentials as option,,Hydraulic System | Capacity,1018 ltr/min,,Hydraulic System | Type,"Double-acting, piston type",Hydraulic System | Type,"Double-acting, piston type",Hydraulic System | Number of cylinders,2,Hydraulic System | Number of cylinders,2,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Number of boom cylinders,1,,Hydraulic System | Capacity,405 ltr/min,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,
Chassis and Tyres | Oscillation,"Rear axle oscillation for optimum stability, oscillation angle 10°",,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,,Hydraulic System | Number of cylinders,2,Hydraulic System | Number of cylinders,2,Hydraulic System | Bore x stroke,70 mm x 453 mm,Hydraulic System | Bore x stroke,70 mm x 453 mm,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,,Hydraulic System | Number of cylinders,2,,"Hydraulic System | Boom cylinder, bore x stroke",95 mm x 670 mm,,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,,Hydraulic System | Bore x stroke,160 mm x 503 mm,,Hydraulic System | Bore x stroke,160 mm x 576 mm,
Chassis and Tyres | Tyres,455/70 R20 (standard),,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Bore x stroke,55 mm x 375 mm,Hydraulic System | Bore x stroke,"70 mm x 453 mm 2.76"" x 17.8""",Hydraulic System | Hydraulic pump,Gear type pump,Hydraulic System | Hydraulic pump,Gear type pump,Hydraulic System | Bore x stroke,70 mm x 453 mm,,Hydraulic System | Bore x stroke,70 mm x 453 mm,,Hydraulic System | Bore x stroke,70 mm x 453 mm,Hydraulic System | Bore x stroke,75 mm x 442 mm,,Hydraulic System | Bore x stroke,75 mm x 442 mm,,Hydraulic System | Bore x stroke,75 mm x 442 mm,,Hydraulic System | Bore x stroke,90 mm x 441 mm,,Hydraulic System | Bore x stroke,90 mm x 441 mm,,Hydraulic System | Bore x stroke,90 mm x 441 mm,,Hydraulic System | Bore x stroke,100 mm x 486 mm,,Hydraulic System | Bore x stroke,100 mm x 486 mm,,Hydraulic System | Bore x stroke,115 mm x 510 mm,,Hydraulic System | Bore x stroke,100 mm x 486 mm,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,
Brakes | Operating brakes,"Combined inch brake pedal actuates maintenance free, wet multi-disc type brakes in the front axle Self-braking via the hydrostatic drive",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Hydraulic pump,"Piston pump, in common with steering system",Hydraulic System | Loader Control:,,Hydraulic System | Capacity,54 ltr/min,Hydraulic System | Capacity,78 ltr/min,Hydraulic System | Hydraulic pump,"Piston pump, in common with steering system",,Hydraulic System | Hydraulic pump,"Piston pump, in common with steering system",,Hydraulic System | Hydraulic pump,Gear type pump,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,Hydraulic System | Hydraulic pump,Piston pump,,"Hydraulic System | Bucket cylinder, bore x stroke",85 mm x 522 mm,,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Capacity,405 ltr/min,,Hydraulic System | Capacity (at rated rpm),4 x 230 L/min,
Brakes | Parking brake,Integrated wet multi-disc type brake,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Capacity,123 ltr/min,Hydraulic System | Hydraulic pump,Gear type pump,Hydraulic System | Relief valve setting,20.6 MPa  210 kgf/cm2,Hydraulic System | Relief valve setting,20.6 MPa  210 kgf/cm2,Hydraulic System | Capacity,150 ltr/min,,Hydraulic System | Capacity,180 ltr/min,,Hydraulic System | Capacity,61 ltr/min,Hydraulic System | Capacity,205.5 ltr/min,,Hydraulic System | Capacity,205 ltr/min,,Hydraulic System | Capacity,205 ltr/min,,Hydraulic System | Capacity,260 ltr/min,,Hydraulic System | Capacity,260 ltr/min,,Hydraulic System | Capacity,260 ltr/min,,Hydraulic System | Capacity,320 ltr/min,,Hydraulic System | Capacity,320 ltr/min,,Hydraulic System | Capacity,239 + 239 ltr/min,,Hydraulic System | Capacity,239 + 239 ltr/min,,Hydraulic System | Control valve,3-spool type,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,,Hydraulic System | Relief valve setting,34.3 MPa  350 kgf/cm2,
Service Refill Capacities | Cooling system,22.3 ltr,,"Hydraulic System | Boom cylinder, bore x stroke",360 mm x 1835 mm,,Hydraulic System | Relief valve setting,20.6 MPa  210 kgf/cm2,Hydraulic System | Capacity,54 ltr/min 14.3 U.S gal/min at rated rpm,Hydraulic System | Hydraulic Cylinders:,,Hydraulic System | Hydraulic Cylinders:,,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,,Hydraulic System | Relief valve setting,30.4 MPa  310 kgf/cm2,,Hydraulic System | Relief valve setting,20.6 MPa  210 kgf/cm2,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,,Hydraulic System | Relief valve setting,31.4 MPa  320 kgf/cm2,,Hydraulic System | Relief valve setting,34.3 MPa  350 kgf/cm2,,Hydraulic System | Relief valve setting,34.3 MPa  350 kgf/cm2,,Hydraulic System | Relief valve setting,34.3 MPa  350 kgf/cm2,,Hydraulic System | Relief valve setting,34.3 MPa  350 kgf/cm2,,Hydraulic System | Relief valve setting,34.3 MPa  350 kgf/cm2,,Hydraulic System | Relief valve setting,34.3 MPa  350 kgf/cm2,,Hydraulic System | Relief valve setting,34.3 MPa  350 kgf/cm2,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,"Hydraulic System | Boom cylinder, bore x stroke",225 mm x 1196 mm,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,
Service Refill Capacities | Fuel tank,110 ltr,,Hydraulic System | Number of bucket cylinders,2,,Hydraulic System | Hydraulic Cylinders:,,Hydraulic System | Relief valve setting,"20.6 MPa 210 kgf/cm2 3,000 psi",Hydraulic System | Type,"Double-acting, piston type",Hydraulic System | Type,"Double-acting, piston type",Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Hydraulic Cylinders:,,,Hydraulic System | Raise,5.3 sec,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",
Service Refill Capacities | Engine,10.5 ltr,,"Hydraulic System | Bucket cylinder, bore x stroke",300 mm x 985 mm,,Hydraulic System | Type,"Double-acting, piston type",Hydraulic System | Hydraulic Cylinders:,,Hydraulic System | Number of boom cylinders,2,Hydraulic System | Number of boom cylinders,2,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Type,"Double-acting, piston type",,Hydraulic System | Dump,1.0 sec,,"Hydraulic System | Bucket cylinder, bore x stroke",280 mm x 729 mm,,Hydraulic System | Number of boom cylinders,2,,"Hydraulic System | Number of cylinders, bore x stroke:",,
Service Refill Capacities | Hydraulic system,50 ltr,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Number of boom cylinders,2,Hydraulic System | Type,"Double-acting, piston type","Hydraulic System | Boom cylinder, bore x stroke",125 mm x 673.5 mm,"Hydraulic System | Boom cylinder, bore x stroke",130 mm x 717 mm,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Number of boom cylinders,2,,Hydraulic System | Lower (empty),3.0 sec,,Hydraulic System | Control valve,2-spool type,,"Hydraulic System | Boom cylinder, bore x stroke",260 mm x 1368 mm,,Hydraulic System | Lift cylinder,2 – 260 mm x 1495 mm,
Service Refill Capacities | Axle front,9.1 ltr,,Hydraulic System | Control Positions:,,,"Hydraulic System | Boom cylinder, bore x stroke",110 mm x 628 mm,Hydraulic System | Number of lift cylinders,2,Hydraulic System | Number of bucket cylinders,1,Hydraulic System | Number of bucket cylinders,1,"Hydraulic System | Boom cylinder, bore x stroke",110 mm x 717 mm,,"Hydraulic System | Boom cylinder, bore x stroke",120 mm x 729 mm,,"Hydraulic System | Boom cylinder, bore x stroke",140 mm x 729 mm,"Hydraulic System | Boom cylinder, bore x stroke",130 mm x 713 mm,,"Hydraulic System | Boom cylinder, bore x stroke",130 mm x 713 mm,,"Hydraulic System | Boom cylinder, bore x stroke",130 mm x 776 mm,,"Hydraulic System | Boom cylinder, bore x stroke",140 mm x 764 mm,,"Hydraulic System | Boom cylinder, bore x stroke",140 mm x 764 mm,,"Hydraulic System | Boom cylinder, bore x stroke",140 mm x 881 mm,,"Hydraulic System | Boom cylinder, bore x stroke",160 mm x 898 mm,,"Hydraulic System | Boom cylinder, bore x stroke",160 mm x 898 mm,,"Hydraulic System | Boom cylinder, bore x stroke",200 mm x 1067 mm,,"Hydraulic System | Boom cylinder, bore x stroke",200 mm x 1067 mm,,Service Refill Capacities | Cooling system,9.1 ltr,,Hydraulic System | Control Positions:,,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Bucket cylinder,1 – 300 mm x 995 mm,
Service Refill Capacities | Axle rear,9.1 ltr,,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Number of bucket cylinders,1,"Hydraulic System | Lift cylinder, bore x stroke","125 mm x 673.5 mm 4.9"" x 26.5""","Hydraulic System | Bucket cylinder, bore x stroke",150 mm x 504 mm,"Hydraulic System | Bucket cylinder, bore x stroke",170 mm x 480 mm,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,,Hydraulic System | Number of bucket cylinders,1,,Service Refill Capacities | Fuel tank,132 ltr,,Hydraulic System | Boom,"Raise, hold, lower, and float",,"Hydraulic System | Bucket cylinder, bore x stroke",300 mm x 906 mm,,Hydraulic System | Control valve,Spool type,
Service Refill Capacities | Transfer case (20 km/h / 40 km/h),1.3 / 1.6 ltr,,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,"Hydraulic System | Bucket cylinder, bore x stroke",110 mm x 452 mm,Hydraulic System | Number of bucket cylinders,1,Hydraulic System | Control valve,3-spool type,Hydraulic System | Control valve,3-spool type,"Hydraulic System | Bucket cylinder, bore x stroke",140 mm x 480 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",150 mm x 558 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",180 mm x 558 mm,"Hydraulic System | Bucket cylinder, bore x stroke",150 mm x 535 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",150 mm x 535 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",160 mm x 535 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",160 mm x 575 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",160 mm x 575 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",180 mm x 572 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",185 mm x 675 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",185 mm x 675 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",225 mm x 776 mm,,"Hydraulic System | Bucket cylinder, bore x stroke",225 mm x 776 mm,,Service Refill Capacities | Engine,7.5 ltr,,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Control valve,Spool type,,Hydraulic System | Control Positions:,,
Service Refill Capacities | AdBlue tank,20 ltr,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Control valve,2-spool type,"Hydraulic System | Bucket cylinder, bore x stroke","150 mm x 504 mm 5.9"" x 19.8""",Hydraulic System | Control Positions:,,Hydraulic System | Control Positions:,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,3-spool type,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,2-spool type,,Hydraulic System | Control valve,2-spool type,,Service Refill Capacities | Hydraulic system,50 ltr,,Service Refill Capacities | Cooling system,219 ltr,,Hydraulic System | Control Positions:,,,Hydraulic System | Boom,"Raise, hold, lower, and float",
Steering System | System,Articulated frame steering,Articulated frame steering,Hydraulic System | Raise,14.8 sec,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,Hydraulic System | Control valve,2-spool type,Hydraulic System | Boom,"Raise, hold, lower, and float",Hydraulic System | Boom,"Raise, hold, lower, and float",Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,,Hydraulic System | Control Positions:,,,Service Refill Capacities | Axle front,8.4 ltr,,Service Refill Capacities | Fuel tank,1100 ltr,,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",
Steering System | Type,Hydraulic,,Hydraulic System | Dump,3.2 sec,,Hydraulic System | Raise,5.8 sec,Hydraulic System | Control Positions:,,Hydraulic System | Bucket,"Tilt-back, hold, and dump",Hydraulic System | Bucket,"Tilt-back, hold, and dump",Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",,Hydraulic System | Boom,"Raise, hold, lower, and float",,Service Refill Capacities | Axle rear,8.4 ltr,,Service Refill Capacities | Engine,52 ltr,,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,
Steering System | Steering angle to either side,42°,,Hydraulic System | Lower (empty),5.3 sec,,Hydraulic System | Dump,1.1 sec,Hydraulic System | Boom,"Raise, hold, lower, and float",Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Hydraulic System | Bucket,"Tilt-back, hold, and dump",,Service Refill Capacities | Transfer case,1.3 ltr,,Service Refill Capacities | Hydraulic system,470 ltr,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Raise,10.1 sec,
Steering System | Steering pump,Gear pump,,Service Refill Capacities | Cooling system,500 ltr,,Hydraulic System | Lower (empty),3.6 sec,Hydraulic System | Bucket,"Tilt-back, hold, and dump",Hydraulic System | Raise,5.7 sec,Hydraulic System | Raise,5.7 sec,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Hydraulic System | Hydraulic Cycle Time: (rated load in bucket),,,Steering System | Type,"Articulated type, fully hydraulic power steering",,Service Refill Capacities | Axle front,245 ltr,,Hydraulic System | Raise,11.2 sec,,Hydraulic System | Dump,2.9 sec,
